Field,Transect,Trans sample,Replicate 2004,Replicate 2008,JohnGr 2004,JohnGr 2008,Tree 2004,Tree 2008,Bare 2004,T/acs 2008,A/acs 2008,LiBl 2004,LiBl 2008,BiBl 2004,BiBl 2008,Ind 2004,Ind 2008,Swit 2004,Swit 2008,EaGa 2004,EaGa 2008,Any 5 2004,Any 5 2008,2004 # of big five per sample point
FM1,1,1,1,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,1,2,2,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,1,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,1,4,4,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM1,1,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,1,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,1,7,7,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
FM1,1,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,1,9,9,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,1,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,1,11,11,nd,0,nd,0,nd,0,nd,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0
FM1,2,1,12,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,2,2,13,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,2,3,14,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,2,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,2,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,2,6,17,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,2,7,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,2,8,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,2,9,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,2,10,21,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,3,1,22,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,3,2,23,,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
FM1,3,3,24,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,3,4,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,3,5,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,3,6,27,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
FM1,3,7,,,nd,enc,nd,enc,nd,enc,enc,nd,enc,nd,enc,nd,enc,nd,enc,nd,enc,nd,enc,nd
FM1,3,8,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,3,9,29,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
FM1,3,10,30,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,3,11,31,,0,nd,0,nd,0,nd,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0
FM1,4,1,32,,0,th,0,th,0,th,th,0,th,0,th,1,th,0,th,0,th,1,th,1
FM1,4,2,33,,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,2
FM1,4,3,34,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
FM1,4,4,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,4,5,36,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM1,4,6,37,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM1,4,7,38,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
FM1,4,8,39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,4,9,40,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1,4,10,41,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
FM1,4,11,42,,0,nd,0,nd,0,nd,nd,0,nd,0,nd,1,nd,0,nd,0,nd,1,nd,1
FM2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,3,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,4,4,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,1,8,8,,0,0,0,0,0,nd,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0
FM2,1,9,9,,0,nd,0,nd,0,nd,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0
FM2,2,1,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,2,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,4,13,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,5,14,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,6,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,7,16,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,8,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,2,9,18,,0,0,1,0,0,nd,nd,0,nd,0,nd,0,nd,0,0,0,nd,0,nd,0
FM2,2,10,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM2,3,1,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,2,20,,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
FM2,3,3,21,,0,th,1,th,0,th,th,0,0,0,0,0,0,0,th,0,0,0,0,0
FM2,3,4,22,,0,th,1,th,0,th,th,0,th,0,th,0,th,0,th,0,th,0,th,0
FM2,3,5,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,6,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,7,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,8,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,9,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,3,10,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,1,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,2,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,3,31,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,4,32,,0,th,1,th,0,th,th,0,0,0,0,0,0,0,th,0,0,0,0,0
FM2,4,5,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,6,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,7,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,8,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,9,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,4,10,38,,0,0,0,0,0,0,0,0,nd,0,nd,0,nd,0,0,0,nd,0,nd,0
FM2,5,1,39,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM2,5,2,40,,0,th,0,th,0,th,th,0,0,0,0,0,0,0,th,0,0,0,0,0
FM2,5,3,,,nd,th,nd,th,nd,th,th,nd,th,nd,th,nd,th,nd,th,nd,th,nd,nd,nd
