Field,2014 Bare,2014 Some but not ful cov,2014 Full cov,2014 LiBl,2014 BiBl,2014 Ind,2014 Swit,2014 EaGa w/o seeds,2014 SiOt,2014 TlDrop,2014 FlPas,2014 PrplTp,2014 VnMes,2014 SilBlu,2014 SpltBrd,2014 BrBlu,2014 LoveSp,2014 CaroJT ,2014 3mJG,2014 0.5mJG,2014 KRBlu,2014 OFTA,2014 Aris#2,2014 Tree,2014 Any of big 5 nat per,2014 Any of 15 nat per,2014 Any of 14 nat per (minus LG),2014 Any of iNaN of health prairie -Diggs,2014 Any nat per not in Diggs group,2014  # big five per sample,2014 Any of 3 uNaNes grass .5m JG,2014 Any of (0.5m JG trees or bg),2014 Any of 3 uNaNes grass (3m JG),2014 Any nat per not in Diggs group - LG,2014 # characteristic prairie sps per sample,2014 # ruderal spcs per sample,2014 # ruderal spcs -LG per sample,2014 # uNaNesirable per sample,2014 # native perennial per sample,2014 # native perennials -LG per sample,2014 # characteristic prairie sps per samp- B5
FM1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,1,1,1,0,2,0,0,0,0,3,0,0,0,3,3,1
FM1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,1,2,2,1,0,4,3,1
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
FM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
FM1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,NaN,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,3,2,2
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,2,1,1,0,3,3,0
FM1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,3,2,1,0,5,4,1
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0
FM1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FM1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,3,1,1,0,4,4,1
FM1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,2,1,1,0,3,3,0
FM1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,0,2,1,0,0,3,2,0
FM1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
FM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,2,1,0
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,3,2,1,0,5,4,1
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,1,2,2,1,0,4,3,1
FM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,2,1,0
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0
FM1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,1,2,2,1,0,4,3,1
FM1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,3,2,1,0,5,4,1
FM1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,NaN,0,0,1,1,1,1,0,0,0,0,1,1,2,1,0,3,2,1
FM1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,1,3,2,1,0,5,4,2
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,NaN,0,1,1,1,1,1,1,1,0,1,1,2,3,2,1,5,4,1
FM1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,2,1,0
FM1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,2,0,0,0,1,3,2,1,0,5,4,1
FM1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FM1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0
FM1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,2,2,1
FM1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,NaN,0,0,1,1,1,1,0,1,0,1,0,1,1,0,2,2,1,1
FM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NaN,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
FM1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,NaN,0,0,1,1,1,1,0,1,0,1,0,2,1,0,1,3,2,2
FM1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0,1,1,1,1,1,1,0,0,0,1,2,2,1,0,4,3,1
